Student_ID,Age,Gender,Study_Hours,Attendance(%),Test_Score,Grade
S0540,24,Male,9.1,96.5,98.0,A+
S0216,18,Female,8.6,75.5,79.0,B
S0738,20,Male,4.6,83.1,39.0,F
S0999,21,Male,6.8,75.9,65.0,C
S0714,22,Male,5.3,107.2,51.0,C
S0668,18,Male,3.5,71.4,51.0,C
S0040,24,Female,3.1,89.9,17.0,F
S0232,18,Male,7.1,92.6,75.0,B
S0495,19,Female,1.4,89.5,9.0,F
S0705,24,Male,7.4,98.4,71.0,B
S0968,18,Male,0.6,91.8,6.0,F
S0067,19,Female,3.6,85.1,44.0,F
S0295,22,Male,2.8,82.6,26.0,F
S0068,21,Female,6.0,80.2,49.0,F
S0480,24,Male,7.6,84.3,77.0,B
S0329,21,Female,0.5,73.3,10.0,F
S0627,18,Male,6.6,93.1,76.0,B
S0108,19,Female,7.0,79.3,72.0,B
S0984,23,Female,4.6,65.4,40.0,F
S0347,21,Male,4.9,106.9,55.0,C
S0299,20,Male,3.5,,47.0,F
S0644,22,Female,5.0,84.8,68.0,B
S0308,21,Male,3.1,83.2,23.0,F
S0855,21,Male,4.4,95.7,45.0,F
S0507,22,Female,3.9,82.6,53.0,C
S0297,21,Female,2.8,94.8,22.0,F
S0881,23,Male,4.2,85.0,47.0,F
S0667,22,Male,8.4,73.5,78.0,B
S0101,23,Female,6.5,87.9,49.0,F
S0089,22,Female,4.6,74.4,35.0,F
S0064,18,Male,6.0,80.4,54.0,C
S0844,20,Male,,88.2,49.0,F
S0889,23,Male,7.1,72.9,80.0,B
S0140,21,Female,3.5,86.9,44.0,F
S0758,19,Male,6.1,78.1,57.0,C
S0616,20,Male,3.4,87.1,33.0,F
S0500,23,Male,3.4,89.5,42.0,F
S0666,19,Male,7.9,,90.0,A
S0585,24,Female,2.5,81.7,23.0,F
S0110,22,Female,7.6,87.4,83.0,A
S0917,22,Male,5.7,83.3,55.0,C
S0651,18,Male,6.4,90.4,50.0,F
S0534,19,Female,3.4,78.4,49.0,F
S0446,24,Male,6.6,74.8,60.0,C
S0606,22,Female,5.3,90.7,59.0,C
S0137,24,Male,2.9,83.6,48.0,F
S0812,18,Male,5.4,84.5,66.0,B
S0515,22,Male,1.9,88.8,17.0,F
S0754,18,Female,3.8,78.4,46.0,F
S0159,23,Female,5.0,90.8,35.0,F
S0311,24,Female,6.4,101.7,45.0,F
S0328,21,Female,8.1,100.8,70.0,B
S0137,24,Male,2.9,83.6,48.0,F
S0936,22,Female,5.1,80.4,48.0,F
S0255,22,Male,7.4,97.4,87.0,A
S0276,21,Male,10.9,70.9,100.0,A+
S0902,22,Male,7.2,81.9,79.0,B
S0185,24,Female,3.8,83.5,41.0,F
S0583,19,Female,6.2,85.4,63.0,C
S0661,18,Female,3.4,63.6,29.0,F
S0897,18,Male,3.1,93.5,36.0,F
S0210,23,Female,6.7,85.7,64.0,C
S0169,18,Female,4.5,86.1,57.0,C
S0867,23,Female,3.7,82.9,23.0,F
S0281,24,Male,5.6,82.8,52.0,C
S0900,18,Female,0.4,115.6,1.0,F
S0542,21,Male,4.9,90.2,42.0,F
S0056,24,Female,5.8,97.1,55.0,C
S0121,18,Male,5.1,87.6,43.0,F
S0555,18,Male,4.8,73.9,46.0,F
S0026,18,Male,3.6,80.1,24.0,F
S0073,21,Male,6.6,67.0,81.0,A
S0539,24,Male,1.1,98.9,3.0,F
S0045,20,Male,-2.0,100.9,4.0,F
S0498,21,Female,5.6,99.4,47.0,F
S0199,19,Male,10.9,106.9,100.0,A+
S0378,18,Male,2.4,82.9,14.0,F
S0315,21,Male,5.2,90.4,55.0,C
S0719,20,Female,4.6,89.3,37.0,F
S0209,21,Female,6.9,73.4,64.0,C
S0722,22,Male,4.9,72.2,70.0,B
S0919,23,Male,3.2,76.0,32.0,F
S0536,19,Female,25.0,83.4,24.0,F
S0696,20,Female,2.3,91.0,26.0,F
S0605,22,Female,6.2,88.6,76.0,B
S0591,24,Male,3.8,76.4,49.0,F
S0291,18,Female,4.1,95.5,24.0,F
S0960,21,Female,5.3,84.8,38.0,F
S0333,23,Female,4.1,,36.0,F
S0211,23,Female,1.3,77.6,2.0,F
S0343,20,Male,4.5,79.7,59.0,C
S0061,23,Male,7.0,68.7,82.0,A
S0345,23,Male,4.6,93.4,42.0,F
S0891,20,Female,6.4,81.0,64.0,C
S0712,24,Male,6.5,82.6,66.0,B
S0468,19,Male,5.0,86.1,61.0,C
S0424,24,Female,5.2,71.7,69.0,B
S0260,19,Female,5.8,106.0,69.0,B
S0781,23,Male,8.5,86.5,90.0,A
S0406,20,Male,3.5,79.0,27.0,F
S0789,20,Male,3.7,103.6,32.0,F
S0768,18,Female,4.1,106.1,49.0,F
S0484,24,Female,5.4,91.8,41.0,F
S0531,21,Male,4.2,78.0,66.0,B
S0811,18,Female,1.3,86.0,2.0,F
S1000,23,Female,3.9,77.8,36.0,F
S0967,20,Female,4.1,96.3,55.0,C
S0111,19,Female,4.6,87.7,52.0,C
S0996,23,Female,4.6,89.0,35.0,F
S0559,22,Male,5.6,67.5,68.0,B
S0794,23,Male,3.5,94.3,36.0,F
S0937,23,Male,5.7,78.9,57.0,C
S0920,21,Female,5.2,95.0,55.0,C
S0943,22,Female,1.4,98.7,5.0,F
S0320,24,Female,8.1,79.0,79.0,B
S0517,23,Female,6.0,78.5,47.0,F
S0450,19,Female,5.5,93.2,58.0,C
S0784,19,Male,5.1,87.2,36.0,F
S0594,23,Male,8.6,86.9,88.0,A
S0910,22,Male,6.5,83.5,60.0,C
S0744,19,Male,5.0,95.2,52.0,C
S0138,19,Male,4.9,,57.0,C
S0800,18,Female,4.9,83.4,42.0,F
S0934,20,Female,4.1,82.7,24.0,F
S0823,23,Male,6.7,92.1,75.0,B
S0766,23,Female,3.9,94.7,47.0,F
S0262,21,Male,3.9,88.7,27.0,F
S0568,23,Male,5.2,76.9,44.0,F
S0833,19,Male,3.5,72.6,31.0,F
S0382,23,Male,6.5,74.2,72.0,B
S0334,21,Female,5.0,66.6,36.0,F
S0537,22,Male,3.0,90.4,19.0,F
S0352,21,Female,3.8,72.7,20.0,F
S0786,20,Female,5.1,99.4,33.0,F
S0452,19,Male,5.7,96.3,58.0,C
S0079,21,Male,8.0,69.6,87.0,A
S0030,22,Male,5.3,97.9,53.0,C
S0713,22,Male,1.2,90.5,12.0,F
S0278,20,Male,5.8,86.2,57.0,C
S0248,21,Female,7.5,83.8,57.0,C
S0658,20,Female,2.8,73.8,15.0,F
S0307,24,Female,1.6,81.0,23.0,F
S0166,23,Female,8.6,68.7,90.0,A
S0817,21,Female,6.5,74.9,75.0,B
S0179,18,Male,5.6,83.4,61.0,C
S0486,23,Male,4.4,90.4,44.0,F
S0066,22,Female,3.3,73.5,29.0,F
S0142,18,Female,4.4,82.6,49.0,F
S0437,19,Male,3.2,75.5,32.0,F
S0523,19,Male,4.0,75.0,38.0,F
S0845,24,Female,5.1,84.0,45.0,F
S0421,18,Male,3.8,,45.0,F
S0405,21,Male,,77.9,60.0,C
S0680,18,Male,6.9,100.9,69.0,B
S0266,18,Female,2.9,80.8,42.0,F
S0880,22,Female,2.8,83.4,24.0,F
S0293,20,Female,5.4,86.2,44.0,F
S0222,20,Female,2.5,96.3,35.0,F
S0828,21,Female,4.0,84.3,52.0,C
S0236,20,Female,5.6,71.7,59.0,C
S0526,23,Male,4.4,69.8,33.0,F
S0193,24,Female,4.3,68.5,60.0,C
S0322,19,Female,4.4,75.1,31.0,F
S0050,20,Male,2.7,72.9,27.0,F
S0892,22,Male,6.3,103.2,63.0,C
S0003,22,Male,2.9,77.9,33.0,F
S0818,22,Female,4.6,92.0,40.0,F
S0371,18,Male,5.9,98.9,75.0,B
S0922,22,Male,4.4,85.7,28.0,F
S0250,23,Female,2.2,85.2,21.0,F
S0549,19,Male,5.6,,57.0,C
S0433,18,Female,5.2,80.2,48.0,F
S0939,23,Male,5.5,74.9,48.0,F
S0508,21,Male,,87.7,36.0,F
S0034,20,Male,7.2,77.5,81.0,A
S0205,21,Female,4.0,93.4,44.0,F
S0890,19,Female,2.4,88.7,7.0,F
S0589,23,Male,6.3,81.1,66.0,B
S0731,23,Male,5.8,74.0,74.0,B
S0078,18,Male,2.3,94.0,25.0,F
S0085,23,Male,,100.7,64.0,C
S0306,21,Male,5.7,75.6,51.0,C
S0083,23,Female,6.1,86.8,64.0,C
S0449,20,Female,3.5,97.2,35.0,F
S0998,24,Male,8.1,87.9,93.0,A+
S0752,22,Male,5.2,79.4,62.0,C
S0532,19,Male,5.0,94.3,45.0,F
S0324,24,Male,3.8,99.1,29.0,F
S0496,23,Male,3.7,79.7,59.0,C
S0911,18,Female,5.4,94.3,48.0,F
S0006,22,Male,3.3,62.9,37.0,F
S0426,21,Female,9.2,74.7,80.0,B
S0491,23,Male,4.3,91.3,46.0,F
S0098,23,Male,3.9,73.9,42.0,F
S0762,23,Male,5.7,78.8,53.0,C
S0423,22,Male,7.1,89.1,83.0,A
S0886,18,Male,7.0,93.7,67.0,B
S0282,23,Male,3.7,58.6,36.0,F
S0267,18,Male,4.6,97.7,43.0,F
S0443,19,Male,3.9,91.9,53.0,C
S0746,21,Female,2.7,78.0,28.0,F
S0383,24,Female,6.5,89.7,76.0,B
S0693,23,Female,3.3,86.1,59.0,C
S0894,24,Male,6.7,89.7,73.0,B
S0535,22,Female,5.2,80.7,44.0,F
S0119,24,Female,3.6,84.9,31.0,F
S0389,22,Male,,77.0,52.0,C
S0251,24,Male,3.3,70.6,48.0,F
S0944,21,Male,3.6,73.6,31.0,F
S0454,18,Male,6.2,73.0,72.0,B
S0010,20,Male,8.2,80.1,94.0,A+
S0197,21,Male,6.2,85.1,65.0,C
S0619,18,Male,6.8,86.5,44.0,F
S0082,19,Female,4.2,64.6,53.0,C
S0399,24,Female,1.9,96.9,21.0,F
S0502,23,Female,2.4,75.0,22.0,F
S0635,23,Female,1.2,68.8,0.0,
S0240,20,Female,2.5,85.7,37.0,F
S0310,18,Male,6.1,77.0,54.0,C
S0212,20,Male,3.2,93.9,14.0,F
S0835,18,Male,5.4,91.7,57.0,C
S0381,20,Male,4.4,78.0,36.0,F
S0602,20,Male,2.4,97.9,29.0,F
S0228,20,Female,4.4,78.4,58.0,C
S0874,22,Female,7.5,101.0,75.0,B
S0360,19,Male,,86.6,52.0,C
S0814,22,Male,7.7,96.1,77.0,B
S0178,24,Female,,85.8,28.0,F
S0995,18,Female,6.7,76.1,70.0,B
S0757,19,Male,2.8,74.2,34.0,F
S0494,19,Female,5.1,84.3,65.0,C
S0335,22,Male,2.7,88.3,35.0,F
S0893,22,Female,2.6,94.5,24.0,F
S0008,24,Female,3.7,81.9,27.0,F
S0156,20,Female,2.8,79.1,27.0,F
S0843,23,Male,2.6,88.7,30.0,F
S0751,23,Female,6.4,86.9,63.0,C
S0942,22,Male,10.4,79.2,93.0,A+
S0483,19,Male,4.5,80.8,52.0,C
S0847,20,Male,8.6,97.1,91.0,A+
S0750,24,Male,5.2,85.4,64.0,C
S0904,24,Male,4.9,90.4,39.0,F
S0592,19,Male,5.1,83.6,45.0,F
S0953,19,Female,3.0,87.4,28.0,F
S0581,21,Female,3.4,76.4,21.0,F
S0440,19,Female,4.4,95.5,72.0,B
S0543,22,Male,7.3,100.2,83.0,A
S0597,19,Female,3.3,101.8,18.0,F
S0724,18,Female,4.2,86.8,17.0,F
S0678,22,Female,8.8,86.6,99.0,A+
S0479,24,Female,2.9,93.2,20.0,F
S0229,24,Male,1.7,83.4,32.0,F
S0975,22,Female,4.6,102.0,41.0,F
S0815,23,Female,,76.8,64.0,C
S0213,19,Female,1.9,66.7,31.0,F
S0080,19,Female,5.4,70.1,39.0,F
S0149,22,Female,4.4,76.1,48.0,F
S0303,20,Female,5.7,91.7,63.0,C
S0356,18,Female,6.5,88.3,57.0,C
S0430,22,Male,8.9,92.1,92.0,A+
S0520,24,Female,4.6,104.3,39.0,F
S0363,19,Female,8.7,90.5,94.0,A+
S0595,22,Female,6.5,68.9,77.0,B
S0358,18,Male,1.8,68.8,20.0,F
S0134,20,Female,5.6,99.9,63.0,C
S0830,20,Male,6.5,89.9,61.0,C
S0312,19,Female,6.3,83.9,56.0,C
S0622,20,Male,6.0,78.8,62.0,C
S0465,18,Male,6.7,89.8,77.0,B
S0994,21,Female,1.3,93.6,26.0,F
S0001,24,Male,1.1,86.4,15.0,F
S0317,18,Male,2.4,82.9,30.0,F
S0723,24,Male,5.4,83.7,60.0,C
S0560,23,Female,6.6,83.7,69.0,B
S0372,23,Male,5.3,96.8,62.0,C
S0545,19,Female,0.4,82.1,0.0,
S0850,23,Male,6.2,91.4,76.0,B
S0395,22,Male,4.3,87.5,57.0,C
S0173,19,Female,5.4,80.4,53.0,C
S0126,21,Female,4.9,,30.0,F
S0899,24,Female,1.6,75.2,17.0,F
S0579,21,Female,5.6,101.6,54.0,C
S0949,21,Male,9.2,65.8,97.0,A+
S0921,18,Female,1.2,87.9,14.0,F
S0091,19,Male,4.3,72.4,42.0,F
S0971,24,Male,5.9,97.2,61.0,C
S0182,21,Male,5.7,77.4,35.0,F
S0364,23,Female,5.4,79.2,47.0,F
S0275,24,Male,0.8,76.2,4.0,F
S0913,18,Female,6.8,,87.0,A
S0070,24,Male,5.8,,59.0,C
S0292,21,Male,5.1,77.8,54.0,C
S0132,20,Male,6.2,81.6,52.0,C
S0301,20,Female,7.0,94.9,64.0,C
S0448,24,Female,7.5,77.5,69.0,B
S0327,18,Male,7.2,72.0,77.0,B
S0145,18,Male,1.8,80.9,8.0,F
S0552,18,Male,2.8,78.9,36.0,F
S0596,21,Female,6.2,80.6,68.0,B
S0656,19,Male,7.9,88.3,100.0,A+
S0136,19,Male,6.0,83.0,73.0,B
S0431,22,Male,4.5,97.7,60.0,C
S0165,24,Male,6.0,68.6,64.0,C
S0029,23,Male,3.3,93.6,41.0,F
S0588,23,Female,3.1,90.0,17.0,F
S0194,20,Female,5.4,97.0,59.0,C
S0791,22,Male,3.6,84.1,28.0,F
S0653,21,Male,4.0,86.4,46.0,F
S0170,24,Female,4.8,83.7,43.0,F
S0514,23,Female,3.5,74.9,38.0,F
S0141,24,Female,2.3,104.6,28.0,F
S0174,21,Male,2.9,82.8,20.0,F
S0007,22,Female,9.6,76.1,92.0,A+
S0657,22,Male,2.1,74.9,12.0,F
S0965,23,Female,4.8,90.4,43.0,F
S0074,22,Male,2.0,81.5,21.0,F
S0765,18,Female,4.1,97.9,30.0,F
S0654,19,Male,2.8,86.6,38.0,F
S0239,24,Male,6.6,86.9,64.0,C
S0146,24,Male,6.1,77.5,60.0,C
S0809,21,Male,7.6,94.3,79.0,B
S0235,18,Female,2.7,100.7,24.0,F
S0221,18,Male,6.1,76.4,63.0,C
S0501,24,Male,6.1,92.7,57.0,C
S0674,18,Male,4.4,85.1,40.0,F
S0133,18,Male,3.1,89.1,28.0,F
S0812,18,Male,5.4,84.5,66.0,B
S0434,20,Male,3.6,94.6,39.0,F
S0671,20,Female,5.4,95.6,57.0,C
S0186,24,Female,7.2,92.0,92.0,A+
S0042,23,Male,5.0,78.1,46.0,F
S0626,18,Male,4.8,87.8,41.0,F
S0109,24,Male,7.2,69.8,78.0,B
S0604,18,Male,1.1,75.3,30.0,F
S0057,19,Female,5.8,83.5,60.0,C
S0429,24,Female,6.4,85.1,56.0,C
S0469,24,Female,4.2,69.1,49.0,F
S0577,23,Male,4.1,82.9,35.0,F
S0878,23,Male,3.4,96.7,51.0,C
S0025,22,Female,3.6,111.8,35.0,F
S0441,20,Male,7.6,79.3,77.0,B
S0883,20,Female,4.0,96.1,30.0,F
S0544,18,Female,3.3,80.1,36.0,F
S0634,24,Female,7.2,74.8,80.0,B
S0831,21,Male,4.6,79.6,44.0,F
S0945,23,Female,7.9,81.2,75.0,B
S0339,18,Male,9.7,85.4,93.0,A+
S0052,20,Male,5.9,80.7,54.0,C
S0384,23,Female,3.6,92.1,39.0,F
S0528,18,Male,,76.3,57.0,C
S0939,23,Male,5.5,74.9,48.0,F
S0888,19,Female,5.3,74.8,70.0,B
S0265,22,Female,4.7,77.6,25.0,F
S0550,23,Female,5.4,85.8,46.0,F
S0914,20,Male,3.9,93.0,33.0,F
S0698,21,Male,6.2,79.1,56.0,C
S0396,23,Male,5.9,86.5,37.0,F
S0530,20,Male,4.7,83.5,52.0,C
S0869,18,Female,6.5,70.3,38.0,F
S0019,19,Male,4.3,88.8,39.0,F
S0732,24,Female,3.9,93.4,35.0,F
S0679,21,Male,8.3,81.1,85.0,A
S0582,19,Male,20.0,102.0,83.0,A
S0977,19,Male,7.2,51.8,71.0,B
S0368,21,Male,4.8,72.6,57.0,C
S0084,23,Male,5.1,73.2,56.0,C
S0062,19,Female,8.1,97.7,76.0,B
S0842,23,Female,7.9,76.9,100.0,A+
S0273,19,Male,4.7,86.9,36.0,F
S0286,23,Male,,85.2,42.0,F
S0361,23,Female,3.1,86.6,46.0,F
S0355,23,Male,,85.5,62.0,C
S0482,19,Male,5.3,94.2,76.0,B
S0279,20,Female,3.1,69.7,32.0,F
S0013,20,Female,4.0,97.3,44.0,F
S0183,23,Female,5.8,93.7,62.0,C
S0369,18,Female,3.8,75.4,47.0,F
S0600,19,Female,,84.1,52.0,C
S0631,22,Female,6.0,106.4,81.0,A
S0224,18,Female,6.6,77.2,50.0,F
S0972,24,Female,2.5,86.4,13.0,F
S0715,20,Female,7.1,87.5,81.0,A
S0778,20,Male,4.9,100.3,53.0,C
S0558,24,Male,7.4,78.4,76.0,B
S0466,22,Female,5.1,79.3,59.0,C
S0598,21,Male,5.7,80.1,74.0,B
S0708,24,Male,5.7,95.6,51.0,C
S0177,24,Male,4.0,83.2,34.0,F
S0681,24,Female,3.8,74.0,42.0,F
S0854,19,Male,5.7,91.3,48.0,F
S0955,23,Male,,73.3,47.0,F
S0457,23,Female,3.6,80.4,48.0,F
S0533,24,Female,6.7,103.1,49.0,F
S0394,19,Male,3.5,69.0,32.0,F
S0164,24,Female,5.0,84.8,60.0,C
S0249,21,Male,6.3,56.7,61.0,C
S0650,20,Female,,80.1,33.0,F
S0903,19,Male,5.5,68.5,55.0,C
S0685,20,Female,7.2,74.6,86.0,A
S0376,20,Male,5.8,100.6,50.0,F
S0413,23,Male,1.8,90.5,37.0,F
S0075,24,Male,5.0,84.1,43.0,F
S0114,21,Male,6.3,87.8,47.0,F
S0584,22,Female,7.6,82.4,70.0,B
S0573,22,Female,3.0,69.3,32.0,F
S0391,23,Male,9.4,77.4,92.0,A+
S0105,23,Male,2.5,80.5,33.0,F
S0115,21,Male,2.5,78.3,22.0,F
S0418,18,Female,4.6,82.1,58.0,C
S0669,20,Female,7.3,92.1,85.0,A
S0458,24,Male,4.5,73.6,56.0,C
S0410,21,Male,7.2,83.1,69.0,B
S0093,21,Male,1.4,85.6,6.0,F
S0820,22,Male,5.2,91.2,55.0,C
S0090,24,Female,4.2,76.3,29.0,F
S0337,20,Female,7.9,74.1,84.0,A
S0860,19,Male,0.5,102.5,0.0,
S0940,18,Male,6.3,77.4,60.0,C
S0952,19,Female,8.5,87.8,86.0,A
S0884,22,Female,6.6,95.8,84.0,A
S0621,20,Female,2.9,83.1,27.0,F
S0790,22,Female,6.2,96.1,48.0,F
S0627,18,Male,6.6,93.1,76.0,B
S0095,19,Male,4.0,94.6,35.0,F
S0012,20,Male,5.1,83.3,43.0,F
S0397,18,Female,7.4,86.0,69.0,B
S0546,19,Female,4.1,79.7,50.0,F
S0044,23,Female,2.9,96.7,18.0,F
S0043,24,Male,6.4,66.6,58.0,C
S0168,20,Male,5.1,79.5,48.0,F
S0417,21,Female,3.8,92.8,50.0,F
S0877,22,Female,5.7,96.9,41.0,F
S0427,18,Female,2.7,81.3,7.0,F
S0900,18,Female,0.4,115.6,1.0,F
S0981,23,Male,5.8,82.3,62.0,C
S0976,23,Female,5.0,84.3,49.0,F
S0688,18,Male,,102.4,59.0,C
S0258,20,Female,7.6,89.8,73.0,B
S0336,22,Male,1.9,91.2,8.0,F
S0016,20,Male,3.8,67.7,28.0,F
S0645,19,Male,6.7,87.5,41.0,F
S0325,21,Male,5.3,88.3,69.0,B
S0775,23,Male,,73.6,56.0,C
S0223,23,Male,7.8,82.3,78.0,B
S0180,21,Male,,77.9,39.0,F
S0661,18,Female,3.4,63.6,29.0,F
S0522,22,Male,7.0,78.6,68.0,B
S0023,19,Male,5.7,68.0,71.0,B
S0357,20,Female,3.8,80.8,49.0,F
S0962,23,Male,6.2,81.1,40.0,F
S0906,23,Male,3.1,92.7,16.0,F
S0341,20,Male,6.4,85.0,69.0,B
S0432,24,Female,8.5,81.3,78.0,B
S0774,21,Male,8.6,91.2,79.0,B
S0851,21,Female,5.5,73.0,59.0,C
S0204,23,Male,6.1,92.8,72.0,B
S0918,24,Female,3.7,87.1,52.0,C
S0094,19,Male,6.9,89.9,56.0,C
S0571,23,Female,3.4,96.9,60.0,C
S0069,21,Female,5.8,84.0,65.0,C
S0755,19,Female,6.8,,73.0,B
S0285,19,Male,6.1,84.2,54.0,C
S0928,24,Female,6.8,88.1,78.0,B
S0435,19,Female,3.0,95.4,17.0,F
S0154,20,Female,4.0,92.2,45.0,F
S0076,20,Female,5.2,87.3,40.0,F
S0747,18,Male,1.5,82.2,8.0,F
S0447,19,Female,5.2,74.7,49.0,F
S0189,20,Female,4.6,69.6,35.0,F
S0272,21,Male,5.9,77.4,57.0,C
S0237,19,Male,5.7,90.2,59.0,C
S0488,18,Male,6.1,72.8,50.0,F
S0118,22,Male,4.6,,55.0,C
S0836,18,Female,5.5,82.1,52.0,C
S0513,21,Male,5.0,73.8,49.0,F
S0077,23,Male,6.5,87.4,70.0,B
S0686,18,Male,3.7,,25.0,F
S0127,24,Male,5.5,87.4,63.0,C
S0117,18,Male,6.8,83.8,57.0,C
S0474,18,Male,6.2,75.4,65.0,C
S0709,21,Female,2.2,85.0,40.0,F
S0058,21,Female,6.4,77.9,55.0,C
S0690,23,Female,6.6,89.2,49.0,F
S0930,22,Male,5.4,83.2,46.0,F
S0370,21,Female,5.1,,68.0,B
S0269,23,Female,3.8,95.8,53.0,C
S0047,24,Male,7.4,75.1,74.0,B
S0350,21,Male,3.0,84.2,32.0,F
S0196,23,Female,3.9,88.4,32.0,F
S0320,24,Female,8.1,79.0,79.0,B
S0852,21,Male,5.6,91.9,62.0,C
S0707,23,Female,2.5,95.9,21.0,F
S0753,19,Female,4.8,83.1,67.0,B
S0264,24,Female,3.6,101.0,26.0,F
S0444,24,Female,2.2,,6.0,F
S0959,19,Female,25.0,76.5,49.0,F
S0305,20,Female,,62.3,41.0,F
S0342,20,Male,6.2,68.7,55.0,C
S0614,21,Male,5.5,89.5,50.0,F
S0987,19,Female,5.2,87.6,48.0,F
S0150,20,Female,4.9,78.2,70.0,B
S0125,18,Female,6.0,91.4,59.0,C
S0803,20,Female,5.2,87.2,62.0,C
S0870,18,Female,0.0,86.4,84.0,A
S0051,22,Female,1.7,75.4,18.0,F
S0354,20,Male,5.8,88.7,76.0,B
S0946,18,Female,4.3,88.3,46.0,F
S0143,21,Female,3.5,94.5,37.0,F
S0471,21,Male,4.1,94.7,36.0,F
S0400,18,Female,5.5,79.1,56.0,C
S0717,18,Male,4.3,81.6,44.0,F
S0321,23,Female,1.9,88.4,11.0,F
S0020,21,Female,2.7,91.4,32.0,F
S0827,22,Male,3.9,80.4,47.0,F
S0807,18,Male,7.1,96.1,65.0,C
S0826,21,Male,6.0,99.3,53.0,C
S0408,18,Female,1.2,85.3,10.0,F
S0538,23,Male,4.9,83.5,45.0,F
S0636,19,Female,5.2,64.6,53.0,C
S0039,21,Female,6.8,,87.0,A
S0176,20,Male,6.2,85.0,61.0,C
S0246,18,Female,5.5,86.4,28.0,F
S0846,18,Male,4.5,80.0,48.0,F
S0683,24,Female,5.0,75.1,40.0,F
S0771,18,Female,4.4,99.0,50.0,F
S0969,18,Male,4.6,,54.0,C
